dataset_label,department_label,course_code,subject,number,section,title,description,prerequisites,corequisites,restrictions,notes,delivery,source_file
maths,maths,MATH 2P03,MATH,2P03,,",","2P08 , 2P12 , 2P40 ,",,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,STAT 2P81,STAT,2P81,,and,"2P82 SCIE 0N90 the Humanities context credit, Sciences context credit or Social Sciences context credit not taken in year 1 one elective credit Spring/Summer Sessions:",,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,MATH 0N01,MATH,0N01,,and,2C01 Year 3 Fall Term:,,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,MATH 3P12,MATH,3P12,,STAT 3P81,or 3P82 one MATH or STAT credit numbered 3 (alpha) 00 or above one-half elective credit Winter Term:,,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,MATH 0N02,MATH,0N02,,and,2C02 Year 4,,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,MATH 3P40,MATH,3P40,,STAT 3P81,or 3P82 one credit from,,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,MATH 3P04,MATH,3P04,,",","4P06 , 4P09 , 4P13 , 4P92 , 4P94 ,",,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,STAT 3P85,STAT,3P85,,",","3P86 , 4P84 one credit from",,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,MATH 4P09,MATH,4P09,,",","4P11 , 4P92 , 4P94 ,",,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,STAT 4P84,STAT,4P84,,one MATH or,STAT credit numbered 3 (alpha) 00 or above one elective credit Spring/Summer Sessions:,,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,MATH 0N03,MATH,0N03,,and,"2C03 Year 5 Fall Term: One and one-half MATH or STAT credits numbered 4 (alpha) 00 or above one elective credit Statistics Co-op (Honours only) Year 1 MATH 1P01, 1P02, 1P11 and 1P40 three elective credits (see program note 1 ) Year 2",,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,MATH 2P03,MATH,2P03,,",","2P08 , 2P12 , 2P40 ,",,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,STAT 2P81,STAT,2P81,,and,"2P82 the Humanities context credit, Sciences context credit or Social Sciences context credit not taken in year 1 one elective credit (see program note 6 ) Year 3",,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,STAT 3P81,STAT,3P81,,",","3P82 , 3P85 and 3P86 one MATH or STAT credit numbered 3( alpha )00 or above (see program note 6 ) SCIE 0N90 two elective credits (see program note 6 ) Spring/Summer Sessions:",,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,MATH 0N01,MATH,0N01,,and,2C01 Year 4 Fall Term:,,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,MATH 0N02,MATH,0N02,,and,2C02 Winter Term:,,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,STAT 4P82,STAT,4P82,,STAT 4P84,or 4P85 one-half MATH or STAT credit (see program notes 6 and 8 ) one elective credit (see program notes 6 and 8 ) Spring/Summer Sessions:,,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,MATH 0N03,MATH,0N03,,and,2C03 Year 5 Fall Term:,,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,STAT 4P81,STAT,4P81,,STAT 4P84,"or 4P85 one-half MATH or STAT credit one MATH or STAT credit numbered 3 (alpha) 90 or above Mathematics Pass Program Year 1 MATH 1P01, 1P02 and 1P11",,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,MATH 1P40,MATH,1P40,,or,1P66 three elective credits (see program note 1 ) Year 2,,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,MATH 2P03,MATH,2P03,,one credit from,,,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,MATH 2P08,MATH,2P08,,",","2P12 , 2P40 , 2P91 ,",,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,STAT 2P81,STAT,2P81,,and,"2P82 one-half MATH or STAT credit numbered 2 (alpha) 00 or above the Humanities context credit, Sciences context credit or Social Sciences context credit not taken in year 1 two elective credits Year 3 Three MATH or STAT credits numbered 3 (alpha) 00 or above (see program note 3 ) two elective credits Combined Major Program Combined major programs have been developed by the Department of Mathematics and Statistics in co-operation with each of these departments: Biological Sciences , Chemistry , Computer Science , Economics and Physics . Program requirements are listed in the calendar sections of the co-major discipline. Students may take a combined major in Mathematics and a second discipline. For requirements in the other discipline, the student should consult the relevant department/centre. It should be noted that not all departments/centres provide a combined major option. Mathematics and Computer Science Co-op (Honours only) Students admitted to the Mathematics and Computer Science Co-op program must follow an approved program pattern. The most common pattern is listed below. For other approved patterns, consult the Co-op Office. Year 1 MATH 1P01, 1P02, 1P11, 1P40, 1P66 and 1P67 COSC 1P02 and 1P03 one Humanities context credit Year 2 Fall Term:",,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,MATH 2P03,MATH,2P03,,STAT 2P81,"COSC 1P50 , 2P03 and 2P12 SCIE 0N90 Winter Term:",,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,MATH 0N01,MATH,0N01,,and,2C01 Spring/Summer Sessions: COSC 2P13 and 3P32 one Social Sciences context credit one-half elective credit Year 3 Fall term,,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,MATH 0N02,MATH,0N02,,and,2C02 Winter Term,,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,MATH 2P12,MATH,2P12,,or,2P92 COSC 2P05 one-half COSC credit (see program note 8 ) one elective credit Spring/Summer Sessions:,,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,MATH 0N03,MATH,0N03,,and,2C03 Year 4,,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,MATH 2P40,MATH,2P40,,",","3P60 , and 4P61",,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,STAT 2P82,STAT,2P82,,COSC 3P03,", 4P01 and 4P02 one-half MATH credit one COSC credit (see program note 8 ) Year 5 Fall Term: One MATH or STAT credit (see program note 8 ) one COSC credit (see program note 8 ) one-half elective credit (see program note 8 ) Programs and Courses for Future Teachers The Department of Mathematics and Statistics has identified courses that are particularly appropriate for students preparing to become teachers at either the elementary or secondary levels. Students should consult the Chair in the selection of courses. Elementary Three credits for a teachable subject at the Junior/Intermediate level. For example:",,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,MATH 1P11,MATH,1P11,,or,"1P12 , 1P66 , 2P90 , and",,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,STAT 1P50,STAT,1P50,,or,"1P98 , and two courses among",,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,MATH 1P05,MATH,1P05,,or,"1P97 , 1P40 , 2P75 , 2P92 , 3P23 , or 3P91 . Secondary For Mathematics as the first teachable subject (a minimum of five credits). An Honours degree in Mathematics is recommended. For Mathematics as the second teachable subject, a minimum of three credits. For example: MATH 1P01, 1P05 or 1P97,",,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,MATH 1P11,MATH,1P11,,or,"1P12 ,",,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,MATH 2P90,MATH,2P90,,and one MATH or,STAT credit from,,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
maths,maths,MATH 1P02,MATH,1P02,,or,"1P06 , 1P40 , 2P75 , 2P92 or 2P94 , 3P23 , 3P91 ,",,,,,,2024-2025-Undergraduate-Calendar-Mathematics-and-Statistics.html
